left,188,338,79,229
right,-23,262,221,371
bottom_left,238,388,79,229
bottom_right,162,312,221,371
left,188,338,79,229
right,-23,262,221,371
bottom_left,238,388,79,229
bottom_right,162,312,221,371
left,161,311,79,229
right,4,289,221,371
bottom_left,211,361,79,229
bottom_right,189,339,221,371
left,112,262,79,229
right,53,338,221,371
bottom_left,162,312,79,229
bottom_right,238,388,221,371
left,112,262,79,229
right,53,338,221,371
bottom_left,162,312,79,229
bottom_right,238,388,221,371
left,127,277,79,229
right,38,323,221,371
bottom_left,177,327,79,229
bottom_right,223,373,221,371
left,127,277,79,229
right,38,323,221,371
bottom_left,177,327,79,229
bottom_right,223,373,221,371
left,127,277,55,205
right,38,323,245,395
bottom_left,177,327,55,205
bottom_right,223,373,245,395
left,127,277,55,205
right,38,323,245,395
bottom_left,177,327,55,205
bottom_right,223,373,245,395
left,127,277,28,178
right,38,323,272,422
bottom_left,177,327,28,178
bottom_right,223,373,272,422
left,127,277,28,178
right,38,323,272,422
bottom_left,177,327,28,178
bottom_right,223,373,272,422
