left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,145,295,100,250
right,20,305,200,350
bottom_left,195,345,100,250
bottom_right,205,355,200,350
left,141,291,100,250
right,24,309,200,350
bottom_left,191,341,100,250
bottom_right,209,359,200,350
left,113,263,100,250
right,52,337,200,350
bottom_left,163,313,100,250
bottom_right,237,387,200,350
left,179,329,100,250
right,-14,271,200,350
bottom_left,229,379,100,250
bottom_right,171,321,200,350
left,148,298,100,250
right,17,302,200,350
bottom_left,198,348,100,250
bottom_right,202,352,200,350
left,129,279,100,250
right,36,321,200,350
bottom_left,179,329,100,250
bottom_right,221,371,200,350
left,129,279,79,229
right,36,321,221,371
bottom_left,179,329,79,229
bottom_right,221,371,221,371
left,129,279,120,270
right,36,321,180,330
bottom_left,179,329,120,270
bottom_right,221,371,180,330
left,155,305,120,270
right,10,295,180,330
bottom_left,205,355,120,270
bottom_right,195,345,180,330
left,154,304,120,270
right,11,296,180,330
bottom_left,204,354,120,270
bottom_right,196,346,180,330
left,149,299,120,270
right,16,301,180,330
bottom_left,199,349,120,270
bottom_right,201,351,180,330
left,152,302,120,270
right,13,298,180,330
bottom_left,202,352,120,270
bottom_right,198,348,180,330
left,151,301,120,270
right,14,299,180,330
bottom_left,201,351,120,270
bottom_right,199,349,180,330
left,150,300,120,270
right,15,300,180,330
bottom_left,200,350,120,270
bottom_right,200,350,180,330
left,150,300,101,251
right,15,300,199,349
bottom_left,200,350,101,251
bottom_right,200,350,199,349
left,150,300,98,248
right,15,300,202,352
bottom_left,200,350,98,248
bottom_right,200,350,202,352
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,147,297,100,250
right,18,303,200,350
bottom_left,197,347,100,250
bottom_right,203,353,200,350
left,159,309,100,250
right,6,291,200,350
bottom_left,209,359,100,250
bottom_right,191,341,200,350
left,162,312,100,250
right,3,288,200,350
bottom_left,212,362,100,250
bottom_right,188,338,200,350
left,166,316,100,250
right,-1,284,200,350
bottom_left,216,366,100,250
bottom_right,184,334,200,350
left,169,319,100,250
right,-4,281,200,350
bottom_left,219,369,100,250
bottom_right,181,331,200,350
left,153,303,100,250
right,12,297,200,350
bottom_left,203,353,100,250
bottom_right,197,347,200,350
left,151,301,100,250
right,14,299,200,350
bottom_left,201,351,100,250
bottom_right,199,349,200,350
left,148,298,100,250
right,17,302,200,350
bottom_left,198,348,100,250
bottom_right,202,352,200,350
left,125,275,100,250
right,40,325,200,350
bottom_left,175,325,100,250
bottom_right,225,375,200,350
left,124,274,100,250
right,41,326,200,350
bottom_left,174,324,100,250
bottom_right,226,376,200,350
left,120,270,100,250
right,45,330,200,350
bottom_left,170,320,100,250
bottom_right,230,380,200,350
left,116,266,100,250
right,49,334,200,350
bottom_left,166,316,100,250
bottom_right,234,384,200,350
left,115,265,100,250
right,50,335,200,350
bottom_left,165,315,100,250
bottom_right,235,385,200,350
left,115,265,121,271
right,50,335,179,329
bottom_left,165,315,121,271
bottom_right,235,385,179,329
left,115,265,128,278
right,50,335,172,322
bottom_left,165,315,128,278
bottom_right,235,385,172,322
left,115,265,131,281
right,50,335,169,319
bottom_left,165,315,131,281
bottom_right,235,385,169,319
left,115,265,138,288
right,50,335,162,312
bottom_left,165,315,138,288
bottom_right,235,385,162,312
left,115,265,137,287
right,50,335,163,313
bottom_left,165,315,137,287
bottom_right,235,385,163,313
left,115,265,136,286
right,50,335,164,314
bottom_left,165,315,136,286
bottom_right,235,385,164,314
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,102,252,125,275
right,63,348,175,325
bottom_left,152,302,125,275
bottom_right,248,398,175,325
left,102,252,125,275
right,63,348,175,325
bottom_left,152,302,125,275
bottom_right,248,398,175,325
left,102,252,125,275
right,63,348,175,325
bottom_left,152,302,125,275
bottom_right,248,398,175,325
left,102,252,125,275
right,63,348,175,325
bottom_left,152,302,125,275
bottom_right,248,398,175,325
left,102,252,125,275
right,63,348,175,325
bottom_left,152,302,125,275
bottom_right,248,398,175,325
