left,173,323,66,216
right,-8,277,234,384
bottom_left,223,373,66,216
bottom_right,177,327,234,384
left,173,323,66,216
right,-8,277,234,384
bottom_left,223,373,66,216
bottom_right,177,327,234,384
left,173,323,79,229
right,-8,277,221,371
bottom_left,223,373,79,229
bottom_right,177,327,221,371
left,136,286,79,229
right,29,314,221,371
bottom_left,186,336,79,229
bottom_right,214,364,221,371
left,136,286,79,229
right,29,314,221,371
bottom_left,186,336,79,229
bottom_right,214,364,221,371
left,188,338,79,229
right,-23,262,221,371
bottom_left,238,388,79,229
bottom_right,162,312,221,371
left,188,338,79,229
right,-23,262,221,371
bottom_left,238,388,79,229
bottom_right,162,312,221,371
