left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,115,265,136,286
right,50,335,164,314
bottom_left,165,315,136,286
bottom_right,235,385,164,314
left,114,264,136,286
right,51,336,164,314
bottom_left,164,314,136,286
bottom_right,236,386,164,314
left,150,300,136,286
right,15,300,164,314
bottom_left,200,350,136,286
bottom_right,200,350,164,314
left,151,301,136,286
right,14,299,164,314
bottom_left,201,351,136,286
bottom_right,199,349,164,314
left,149,299,136,286
right,16,301,164,314
bottom_left,199,349,136,286
bottom_right,201,351,164,314
left,150,300,136,286
right,15,300,164,314
bottom_left,200,350,136,286
bottom_right,200,350,164,314
left,150,300,102,252
right,15,300,198,348
bottom_left,200,350,102,252
bottom_right,200,350,198,348
left,150,300,104,254
right,15,300,196,346
bottom_left,200,350,104,254
bottom_right,200,350,196,346
left,150,300,101,251
right,15,300,199,349
bottom_left,200,350,101,251
bottom_right,200,350,199,349
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,100,250
right,15,300,200,350
bottom_left,200,350,100,250
bottom_right,200,350,200,350
left,150,300,97,247
right,15,300,203,353
bottom_left,200,350,97,247
bottom_right,200,350,203,353
