left,199,349,103,253
right,-34,251,197,347
bottom_left,249,399,103,253
bottom_right,151,301,197,347
left,199,349,103,253
right,-34,251,197,347
bottom_left,249,399,103,253
bottom_right,151,301,197,347
left,127,277,28,178
right,38,323,272,422
bottom_left,177,327,28,178
bottom_right,223,373,272,422
left,127,277,28,178
right,38,323,272,422
bottom_left,177,327,28,178
bottom_right,223,373,272,422
left,127,277,42,192
right,38,323,258,408
bottom_left,177,327,42,192
bottom_right,223,373,258,408
left,127,277,69,219
right,38,323,231,381
bottom_left,177,327,69,219
bottom_right,223,373,231,381
left,127,277,90,240
right,38,323,210,360
bottom_left,177,327,90,240
bottom_right,223,373,210,360
left,127,277,111,261
right,38,323,189,339
bottom_left,177,327,111,261
bottom_right,223,373,189,339
left,172,322,111,261
right,-7,278,189,339
bottom_left,222,372,111,261
bottom_right,178,328,189,339
left,172,322,111,261
right,-7,278,189,339
bottom_left,222,372,111,261
bottom_right,178,328,189,339
